shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
aShape,38.604893104883,38.604893104883,78,
aShape,38.604782013705,38.604782013705,77,
aShape,38.6047212278933,38.6047212278933,76,
aShape,38.6046541538344,38.6046541538344,75,
aShape,38.6044592194948,38.6044592194948,74,
aShape,38.604448739139,38.604448739139,73,
aShape,38.6043795687521,38.6043795687521,72,
aShape,38.6042181709234,38.6042181709234,71,
aShape,38.6041741532708,38.6041741532708,70,
aShape,38.6041217512681,38.6041217512681,69,
aShape,38.603972929372,38.603972929372,68,
aShape,38.6039226233091,38.6039226233091,67,
aShape,38.603832491525,38.603832491525,66,
aShape,38.6036480354278,38.6036480354278,65,
aShape,38.603589344752,38.603589344752,64,
aShape,38.6035746720755,38.6035746720755,63,
aShape,38.6034918975645,38.6034918975645,62,
aShape,38.6033432655421,38.6033432655421,61,
aShape,38.6033055356673,38.6033055356673,60,
aShape,38.6032342680717,38.6032342680717,59,
aShape,38.6030581948851,38.6030581948851,58,
aShape,38.602963869786,38.602963869786,57,
aShape,38.6029387164053,38.6029387164053,56,
aShape,38.6029051785507,38.6029051785507,55,
aShape,38.6028716406804,38.6028716406804,54,
aShape,38.603028849312,38.603028849312,53,
aShape,38.6032719979841,38.6032719979841,52,
aShape,38.6038463286451,38.6038463286451,51,
aShape,38.6049677274531,38.6049677274531,50,
aShape,38.6067262970236,38.6067262970236,49,
aShape,38.6071999925434,38.6071999925434,48,
aShape,38.6072796401556,38.6072796401556,47,
aShape,38.6073215599159,38.6073215599159,46,
aShape,38.607357191693,38.607357191693,45,
aShape,38.6074410310986,38.6074410310986,44,
aShape,38.6075919417819,38.6075919417819,43,
aShape,38.6076254774462,38.6076254774462,42,
aShape,38.6076757809132,38.6076757809132,41,
aShape,38.6077533320225,38.6077533320225,40,
aShape,38.6078581306856,38.6078581306856,39,
aShape,38.6079503533826,38.6079503533826,38,
aShape,38.6079880808153,38.6079880808153,37,
aShape,38.608055151758,38.608055151758,36,
aShape,38.6081452782384,38.6081452782384,35,
aShape,38.6082102530726,38.6082102530726,34,
aShape,38.6082416924874,38.6082416924874,33,
aShape,38.6083192429851,38.6083192429851,32,
aShape,38.6083926014868,38.6083926014868,31,
aShape,38.6084953032631,38.6084953032631,30,
aShape,38.6085497980235,38.6085497980235,29,
aShape,38.6086818428483,38.6086818428483,28,
aShape,38.608742625305,38.608742625305,27,
aShape,38.6087824482659,38.6087824482659,26,
aShape,38.6088725738328,38.6088725738328,25,
aShape,38.6089375480085,38.6089375480085,24,
aShape,38.6089941383716,38.6089941383716,23,
aShape,38.6091010311579,38.6091010311579,22,
aShape,38.6092498424188,38.6092498424188,21,
aShape,38.6092959528877,38.6092959528877,20,
aShape,38.6094552433704,38.6094552433704,19,
aShape,38.6095809987649,38.6095809987649,18,
aShape,38.6097277131133,38.6097277131133,17,
aShape,38.6097465763648,38.6097465763648,16,
aShape,38.6097151376094,38.6097151376094,15,
aShape,38.6096354927008,38.6096354927008,14,
aShape,38.6092645139348,38.6092645139348,13,
aShape,38.608801311766,38.608801311766,12,
aShape,38.6077889635851,38.6077889635851,11,
aShape,38.6073844395106,38.6073844395106,10,
aShape,38.6066110166673,38.6066110166673,9,
aShape,38.6062924227196,38.6062924227196,8,
aShape,38.6056740949027,38.6056740949027,7,
aShape,38.6052213498004,38.6052213498004,6,
aShape,38.605101874922,38.605101874922,5,
aShape,38.6050809143965,38.6050809143965,4,
aShape,38.6051144512343,38.6051144512343,3,
aShape,38.6051563722596,38.6051563722596,2,
aShape,38.6049677274531,38.6049677274531,1,
aShape,38.6048901733332,38.6048901733332,0,
